iter	Logloss
0	0.6805601425
1	0.6676392287
2	0.6564837157
3	0.6482155756
4	0.6373838766
5	0.6294389106
6	0.6215473664
7	0.6143323301
8	0.6071302244
9	0.5989849166
10	0.5940179896
11	0.5891991167
12	0.5846513026
13	0.5807818241
14	0.5763342417
15	0.5722774354
16	0.5684110719
17	0.5642241847
18	0.5605658027
19	0.557682339
20	0.5541305452
21	0.5505590396
22	0.5477089599
23	0.5445772337
24	0.5420869548
25	0.5390660356
26	0.536127466
27	0.5339561742
28	0.53189441
29	0.5300336159
30	0.5278631098
31	0.5263229084
32	0.525009519
33	0.5229644109
34	0.5215594514
35	0.5197675494
36	0.5179391859
37	0.5165974094
38	0.5154345967
39	0.513772349
40	0.5120620797
41	0.5107769594
42	0.5095855933
43	0.5082710873
44	0.506694219
45	0.5057374852
46	0.5044948094
47	0.5037112057
48	0.5022601849
49	0.5009804351
50	0.5001433555
51	0.499507027
52	0.4987663998
53	0.4974346534
54	0.4962099059
55	0.4950706853
56	0.4942487846
57	0.4933523853
58	0.4924724889
59	0.491028756
60	0.4900691555
61	0.4887357994
62	0.4881983146
63	0.4869961211
64	0.4851004769
65	0.4843873617
66	0.4834795884
67	0.4829445917
68	0.4825755382
69	0.4821490044
70	0.4815757951
71	0.4806887479
72	0.480197899
73	0.4795597978
74	0.4789326268
75	0.478225557
76	0.4775527369
77	0.4769789631
78	0.4766204342
79	0.4762219129
80	0.4757675508
81	0.4752818034
82	0.4745891033
83	0.4738515343
84	0.4733591639
85	0.4726541684
86	0.4720596516
87	0.4717092324
88	0.4713283505
89	0.4709902793
90	0.4705249607
91	0.4700614117
92	0.4696826571
93	0.4691890106
94	0.4686604912
95	0.4682218326
96	0.4679022466
97	0.4672285944
98	0.4667925475
99	0.4664824855
100	0.466106598
101	0.4658957827
102	0.4652201118
103	0.4646053219
104	0.4640774835
105	0.4637649461
106	0.4635764876
107	0.4632683129
108	0.4629012097
109	0.4625285336
110	0.4620068539
111	0.4617311778
112	0.4612498562
113	0.4609916588
114	0.4605042126
115	0.4599845942
116	0.4597688161
117	0.4593751921
118	0.4590128324
119	0.458700927
120	0.4581516451
121	0.4575384693
122	0.456885736
123	0.4563303358
124	0.455879539
125	0.4556294357
126	0.455123239
127	0.4547875233
128	0.4546308563
129	0.4542426586
130	0.4537199897
131	0.4533086258
132	0.4529289734
133	0.4526925549
134	0.4524260393
135	0.4517079966
136	0.4511342308
137	0.4507461473
138	0.450528714
139	0.4500841764
140	0.4497990693
141	0.449512152
142	0.4490380059
143	0.448753085
144	0.4484331698
145	0.4477208466
146	0.44733925
147	0.4470747281
148	0.4463300684
149	0.4461392831
150	0.4460480293
151	0.445890801
152	0.4452863951
153	0.4448829597
154	0.4443861003
155	0.4438711133
156	0.4435290221
157	0.4429566954
158	0.4425401159
159	0.4422324828
160	0.44200672
161	0.4415840732
162	0.4413158772
163	0.4408348686
164	0.4403667282
165	0.4400196008
166	0.4396791728
167	0.4394084255
168	0.4389839241
169	0.4386651325
170	0.4382203375
171	0.4380405422
172	0.4378278704
173	0.4375741948
174	0.4372490946
175	0.4369431149
176	0.4364809126
177	0.4361157098
178	0.4358951143
179	0.4355279885
180	0.4351423807
181	0.4348755098
182	0.4345427144
183	0.4341968451
184	0.433880335
185	0.4335259932
186	0.4332129313
187	0.4328039488
188	0.4325825224
189	0.4324428929
190	0.4319811872
191	0.4317058064
192	0.4312465904
193	0.4310106743
194	0.4306979281
195	0.4303661872
196	0.4300834329
197	0.4298350626
198	0.4294408599
199	0.4288683771
200	0.4283471396
201	0.4280748703
202	0.4277450039
203	0.4273266416
204	0.427041124
205	0.4266000385
206	0.4263573056
207	0.4260655504
208	0.4254532885
209	0.4248384025
210	0.4245488674
211	0.4242499975
212	0.4238645168
213	0.423626253
214	0.4235510136
215	0.423300837
216	0.4229424614
217	0.4225148933
218	0.422119668
219	0.4216810936
220	0.4213875922
221	0.4212675472
222	0.4209137826
223	0.4206027256
224	0.420032715
225	0.4197321523
226	0.4190712888
227	0.4186497215
228	0.4182544104
229	0.4178734624
230	0.4169991706
231	0.4165733798
232	0.4161458225
233	0.4155821427
234	0.41507601
235	0.4146533134
236	0.4142748247
237	0.4139514597
238	0.41355634
239	0.4130741569
240	0.4124532191
241	0.4118268394
242	0.411445729
243	0.4109518925
244	0.4106834952
245	0.4102275105
246	0.4098569175
247	0.409355089
248	0.4091337557
249	0.4087652523
250	0.4084259101
251	0.4078125202
252	0.4072997761
253	0.4069775065
254	0.4065113012
255	0.4061669938
256	0.4059194432
257	0.4054220412
258	0.4049716691
259	0.4042146995
260	0.403707577
261	0.4033350988
262	0.4027391213
263	0.4021722002
264	0.4019412691
265	0.401352008
266	0.4008585793
267	0.4004057382
268	0.3999967653
269	0.3993688625
270	0.3986575164
271	0.3982338245
272	0.3980335059
273	0.3976394772
274	0.397230753
275	0.3966237137
276	0.3961728504
277	0.3957344296
278	0.3953386117
279	0.3949861504
280	0.3944700863
281	0.394096336
282	0.3935138699
283	0.3931251517
284	0.3926838456
285	0.3920439666
286	0.3916891341
287	0.3912744147
288	0.3908328567
289	0.3904490102
290	0.3899048821
291	0.3894918499
292	0.3890929584
293	0.3884595318
294	0.3879527138
295	0.3875913141
296	0.3870992031
297	0.3868021301
298	0.386321688
299	0.3859132418
300	0.385444904
301	0.3851052683
302	0.3846751647
303	0.3844222993
304	0.3840994966
305	0.3834820562
306	0.3829457463
307	0.3825952307
308	0.3822176584
309	0.3819080172
310	0.3814948321
311	0.3810565773
312	0.3807038701
313	0.3802705077
314	0.379970092
315	0.3795558458
316	0.3791896986
317	0.3787501325
318	0.3783160954
319	0.3779440907
320	0.3775376229
321	0.3771181143
322	0.376764849
323	0.3763062571
324	0.376008299
325	0.3755689248
326	0.3751852655
327	0.3747507109
328	0.3743062216
329	0.3739081
330	0.3735536637
331	0.3731186063
332	0.3728186262
333	0.3725749782
334	0.3721102351
335	0.3717503011
336	0.3712065145
337	0.3709085314
338	0.370605992
339	0.3702508765
340	0.369956111
341	0.369448623
342	0.3687657045
343	0.3683526261
344	0.3680865926
345	0.3676867492
346	0.3673528969
347	0.3670518933
348	0.3667260612
349	0.3663438469
350	0.3660794038
351	0.3656836119
352	0.3653783402
353	0.3650797199
354	0.3645775719
355	0.3640520798
356	0.3637994098
357	0.363442545
358	0.3631427492
359	0.3629057696
360	0.3625156111
361	0.3622230729
362	0.3618167884
363	0.3615001128
364	0.360982853
365	0.360635801
366	0.3602270772
367	0.3598613451
368	0.3595690629
369	0.3592427917
370	0.3589065232
371	0.358385446
372	0.3579217481
373	0.3575871021
374	0.3574723196
375	0.3571299356
376	0.3566411569
377	0.3562729045
378	0.3560005956
379	0.3557229877
380	0.3554543465
381	0.3550121675
382	0.3547683533
383	0.3545400987
384	0.3543594417
385	0.3539738465
386	0.3536689492
387	0.3533152527
388	0.3530162474
389	0.3527259192
390	0.3524466702
391	0.3521146649
392	0.351703381
393	0.3513279569
394	0.3509956248
395	0.3507953333
396	0.3504910787
397	0.3502146133
398	0.3497962376
399	0.3494920202
