iter	Passed	Remaining
0	15	7670
1	28	7073
2	41	6897
3	56	7011
4	71	7094
5	85	7066
6	101	7147
7	115	7118
8	131	7178
9	145	7124
10	160	7117
11	178	7276
12	193	7236
13	208	7236
14	223	7219
15	236	7145
16	252	7185
17	267	7155
18	281	7133
19	296	7118
20	310	7071
21	324	7053
22	340	7052
23	354	7033
24	368	7006
25	381	6957
26	396	6948
27	410	6926
28	425	6913
29	439	6891
30	452	6849
31	467	6841
32	482	6822
33	496	6800
34	511	6795
35	525	6778
36	539	6752
37	552	6722
38	567	6702
39	580	6680
40	593	6641
41	607	6627
42	622	6610
43	636	6597
44	650	6578
45	666	6577
46	680	6560
47	695	6548
48	709	6532
49	722	6501
50	738	6500
51	752	6485
52	765	6459
53	780	6443
54	794	6428
55	808	6406
56	822	6393
57	837	6380
58	852	6369
59	866	6355
60	880	6335
61	892	6308
62	907	6293
63	921	6276
64	936	6268
65	951	6254
66	965	6241
67	980	6227
68	994	6209
69	1008	6193
70	1022	6176
71	1037	6164
72	1050	6143
73	1064	6126
74	1079	6119
75	1094	6107
76	1109	6097
77	1122	6072
78	1135	6053
79	1149	6035
80	1163	6017
81	1177	6001
82	1191	5986
83	1204	5967
84	1218	5951
85	1234	5941
86	1250	5934
87	1264	5919
88	1277	5900
89	1292	5889
90	1307	5875
91	1321	5861
92	1335	5846
93	1349	5827
94	1363	5810
95	1377	5795
96	1391	5779
97	1404	5762
98	1418	5747
99	1432	5731
100	1446	5715
101	1460	5698
102	1474	5685
103	1487	5663
104	1502	5653
105	1515	5632
106	1529	5616
107	1542	5598
108	1557	5585
109	1570	5568
110	1584	5553
111	1598	5538
112	1613	5525
113	1628	5512
114	1640	5490
115	1653	5472
116	1667	5458
117	1680	5438
118	1694	5425
119	1708	5410
120	1721	5391
121	1736	5380
122	1749	5361
123	1763	5347
124	1778	5335
125	1790	5315
126	1806	5304
127	1820	5290
128	1835	5278
129	1847	5258
130	1862	5244
131	1876	5232
132	1890	5217
133	1905	5204
134	1921	5196
135	1935	5181
136	1950	5167
137	1964	5152
138	1976	5133
139	1991	5121
140	2005	5105
141	2019	5091
142	2035	5081
143	2050	5068
144	2062	5050
145	2078	5039
146	2091	5022
147	2106	5011
148	2120	4996
149	2135	4982
150	2149	4967
151	2163	4954
152	2178	4941
153	2192	4925
154	2205	4908
155	2219	4894
156	2235	4882
157	2248	4867
158	2262	4852
159	2278	4840
160	2292	4827
161	2306	4813
162	2321	4798
163	2334	4783
164	2349	4770
165	2364	4757
166	2377	4740
167	2392	4727
168	2405	4712
169	2420	4698
170	2433	4682
171	2447	4667
172	2461	4652
173	2474	4635
174	2488	4621
175	2502	4606
176	2516	4592
177	2529	4576
178	2543	4561
179	2555	4543
180	2570	4529
181	2584	4516
182	2600	4503
183	2612	4486
184	2627	4474
185	2642	4461
186	2657	4447
187	2671	4432
188	2682	4413
189	2697	4400
190	2711	4387
191	2725	4371
192	2739	4357
193	2753	4342
194	2767	4327
195	2781	4313
196	2796	4300
197	2811	4287
198	2825	4274
199	2838	4257
200	2853	4245
201	2866	4228
202	2881	4215
203	2896	4202
204	2911	4189
205	2926	4177
206	2941	4164
207	2954	4148
208	2969	4135
209	2982	4118
210	2996	4103
211	3008	4087
212	3023	4074
213	3036	4058
214	3051	4044
215	3063	4028
216	3078	4014
217	3092	4000
218	3107	3987
219	3120	3971
220	3135	3958
221	3149	3943
222	3162	3928
223	3178	3915
224	3192	3901
225	3206	3887
226	3220	3873
227	3234	3858
228	3250	3846
229	3262	3830
230	3278	3817
231	3293	3804
232	3307	3789
233	3326	3781
234	3346	3773
235	3364	3763
236	3381	3752
237	3398	3741
238	3415	3730
239	3432	3718
240	3450	3708
241	3466	3695
242	3481	3681
243	3499	3671
244	3515	3658
245	3531	3646
246	3546	3632
247	3561	3619
248	3575	3604
249	3594	3594
250	3612	3584
251	3629	3571
252	3644	3558
253	3661	3546
254	3678	3533
255	3696	3523
256	3717	3515
257	3741	3509
258	3759	3498
259	3781	3490
260	3802	3482
261	3824	3474
262	3845	3465
263	3867	3457
264	3887	3447
265	3908	3438
266	3928	3427
267	3949	3419
268	3972	3411
269	3994	3402
270	4017	3394
271	4039	3386
272	4071	3385
273	4096	3378
274	4118	3369
275	4143	3362
276	4163	3352
277	4186	3343
278	4208	3333
279	4234	3326
280	4253	3315
281	4272	3303
282	4289	3289
283	4309	3277
284	4326	3263
285	4342	3249
286	4362	3237
287	4379	3223
288	4396	3209
289	4413	3195
290	4430	3182
291	4446	3167
292	4465	3155
293	4481	3140
294	4498	3126
295	4515	3111
296	4532	3098
297	4551	3084
298	4566	3070
299	4585	3056
300	4602	3042
301	4619	3028
302	4634	3013
303	4651	2999
304	4669	2985
305	4688	2972
306	4706	2958
307	4724	2945
308	4740	2930
309	4760	2917
310	4776	2903
311	4792	2887
312	4806	2871
313	4822	2856
314	4836	2840
315	4851	2824
316	4864	2808
317	4879	2792
318	4894	2777
319	4909	2761
320	4923	2745
321	4938	2730
322	4953	2714
323	4969	2699
324	4981	2682
325	4995	2666
326	5011	2651
327	5026	2635
328	5040	2619
329	5054	2603
330	5071	2589
331	5087	2574
332	5103	2559
333	5118	2543
334	5134	2528
335	5152	2515
336	5168	2499
337	5185	2485
338	5199	2469
339	5214	2454
340	5232	2439
341	5248	2424
342	5262	2408
343	5277	2393
344	5294	2378
345	5308	2362
346	5323	2347
347	5337	2331
348	5357	2317
349	5373	2302
350	5388	2287
351	5401	2271
352	5416	2255
353	5430	2239
