user_id,career_code,kyc_level,account_age_days,kyc_l1_to_l2_days,confirmed_to_l2_days,kyc_rushed,twd_deposit_count,twd_deposit_total,twd_withdraw_total,twd_inout_ratio,twd_fast_exit_ratio,twd_night_ratio,twd_round_amount_ratio,twd_active_days,crypto_total_count,crypto_inout_ratio,crypto_night_ratio,trade_count,trade_buy_ratio,trade_night_ratio,swap_count,ip_unique_count,ip_diversity_ratio,twd_to_crypto_gap_hr,activity_density,feat_instant_wash_risk,feat_low_kyc_high_vol,graph_degree,graph_2hop_count,graph_comp_size,graph_clustering,graph_pagerank
98,6,2,2941.948964591528,1223.1115277777778,1223.1111342592592,0,0.0,0.0,300000.0,300000000000000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.999999999,0.0,1.0,0.0,0.0,0,0,1,0.0,6e-06
1333,13,2,2941.663860424861,1957.867638888889,1957.8667708333328,0,0.0,0.0,49898.0,49898000000000.0,0.0,1.0,0.0,1.0,4.0,3492741939999.9995,0.25,1.0,0.0,1.0,0.0,2.0,0.3333333332777777,0.0,0.4515644827809682,0.0,0.0,0,0,1,0.0,6e-06
1339,3,2,2941.6613719989355,938.5455439814816,938.5453125,0,12.0,92105.0,0.0,0.0,0.0,0.1666666666666666,0.0833333333333333,6.0,12.0,2986550377999.9995,0.1666666666666666,0.0,0.0,0.0,12.0,7.0,0.2916666666545139,0.0141666666666666,0.9752637811977648,0.0,0.0,1,0,2,0.0,3.6e-05
1372,19,2,2941.6372169063425,2441.9084606481483,2441.9078703703703,0,0.0,0.0,487927.0,487927000000000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,0.0,1.0,0.3333333332222222,0.0,1.978112550940977,0.0,0.0,0,0,1,0.0,6e-06
1568,22,2,2941.4940687581943,1222.660451388889,1222.6603125,0,0.0,0.0,261438.0,261438000000000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.999999999,0.0,1.9460116895841075,0.0,0.0,13,556,13672,0.0082,3.8e-05
1987,3,2,2940.446696073009,1221.642511574074,1221.6419444444443,0,6.0,19100.0,3240.0,0.1696335078533942,0.0,0.4285714285714285,0.0,6.0,7.0,5.811378516013125,0.4285714285714285,7.0,0.8571428571428571,0.4285714285714285,0.0,7.0,0.3499999999825,0.0380555555555555,0.5958676460518596,0.0,0.0,1,0,2,0.0,3.6e-05
2010,19,2,2940.325689128565,1743.8420949074075,2685.291921296296,0,7.0,1925.0,2868.0,1.489870129869356,0.0,0.0,0.0,5.0,7.0,0.9542876234257736,0.0,4.0,0.75,0.0,0.0,8.0,0.470588235266436,0.0433333333333333,1.07348217406646,0.0,0.0,0,0,1,0.0,6e-06
2043,7,2,2940.0269044063425,1224.1662037037038,1224.166076388889,0,0.0,0.0,28219499.0,2.8219499e+16,0.0,0.2580645161290322,0.4193548387096774,14.0,28.0,3.991643244553058e-05,0.1428571428571428,73.0,0.0,0.2191780821917808,0.0,8.0,0.0761904761897505,0.0,2.034482758620689,0.0,0.0,1,0,2,0.0,3.6e-05
2057,11,2,2939.9845201470835,2226.0427546296296,2226.042627314815,0,0.0,0.0,30860.0,30860000000000.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.19999999996,0.0,1.996533795493934,0.0,0.0,0,0,1,0.0,6e-06
2306,20,2,2938.801684498935,1954.9562152777776,1954.955810185185,0,4.0,39000.0,33341.0,0.8548974358974141,0.0,0.1428571428571428,0.4285714285714285,4.0,7.0,1.2439199619123598,0.5714285714285714,7.0,0.2857142857142857,0.2857142857142857,0.0,7.0,0.4374999999726562,0.0552777777777777,0.5530980532740972,0.0,0.0,0,0,1,0.0,6e-06
2786,23,2,2937.6054576470838,1221.8839467592593,1221.883761574074,0,1.0,15000.0,488.0,0.0325333333333311,0.0,0.0,0.0,2.0,2.0,31.78666666454756,0.0,2.0,0.5,0.0,0.0,3.0,0.59999999988,0.1205555555555555,0.3995846909115294,0.0,0.0,1,101,13672,0.0,7e-06
4234,19,2,2935.446175239676,1951.5890972222223,1951.588773148148,0,8.0,26500.0,0.0,0.0,0.0,0.25,0.0,6.0,8.0,858399999999.9999,0.25,8.0,1.0,0.25,0.0,12.0,0.4999999999791666,0.0227777777777777,1.327155812162907,0.0,0.0,8,110,13672,0.0055,4.7e-05
5199,22,2,2932.827089591528,1215.967824074074,1215.9388773148148,0,2.0,88000.0,30030.0,0.3412499999999961,0.0,0.0,0.3333333333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666664444444,0.0,0.2680186165400161,0.0,0.0,0,0,1,0.0,6e-06
