user_id,graph_degree,graph_2hop_count,graph_comp_size,graph_clustering,graph_pagerank
56,0,0,1,0.0,6e-06
98,0,0,1,0.0,6e-06
189,0,0,1,0.0,6e-06
212,0,0,1,0.0,6e-06
354,0,0,1,0.0,6e-06
403,0,0,1,0.0,6e-06
816,1,3,13672,0.0,1.4e-05
1296,5,195,13672,0.0082,1.7e-05
1320,0,0,1,0.0,6e-06
1333,0,0,1,0.0,6e-06
1339,1,0,2,0.0,3.6e-05
1372,0,0,1,0.0,6e-06
1527,41,282,13672,0.0047,9.6e-05
1568,13,556,13672,0.0082,3.8e-05
1572,0,0,1,0.0,6e-06
1606,6,443,13672,0.0096,1.6e-05
1621,1,0,2,0.0,3.6e-05
1736,175,3441,13672,0.002,0.000149
1931,0,0,1,0.0,6e-06
1987,1,0,2,0.0,3.6e-05
2010,0,0,1,0.0,6e-06
2022,0,0,1,0.0,6e-06
2043,1,0,2,0.0,3.6e-05
2056,2,7,13672,0.0082,2.4e-05
2057,0,0,1,0.0,6e-06
2111,0,0,1,0.0,6e-06
2210,0,0,1,0.0,6e-06
2228,0,0,1,0.0,6e-06
2241,0,0,1,0.0,6e-06
2306,0,0,1,0.0,6e-06
2343,1,5,13672,0.0,1.6e-05
2472,0,0,1,0.0,6e-06
2786,1,101,13672,0.0,7e-06
2919,0,0,1,0.0,6e-06
3267,61,763,13672,0.0059,6.5e-05
3756,0,0,1,0.0,6e-06
3786,0,0,1,0.0,6e-06
3905,106,2267,13672,0.0063,6e-05
4139,0,0,1,0.0,6e-06
4143,1,0,2,0.0,3.6e-05
4234,8,110,13672,0.0055,4.7e-05
4377,0,0,1,0.0,6e-06
4513,0,0,1,0.0,6e-06
4610,0,0,1,0.0,6e-06
4781,0,0,1,0.0,6e-06
4861,0,0,1,0.0,6e-06
4923,0,0,1,0.0,6e-06
5070,0,0,1,0.0,6e-06
5071,0,0,1,0.0,6e-06
5199,0,0,1,0.0,6e-06
5297,0,0,1,0.0,6e-06
5340,0,0,1,0.0,6e-06
5410,0,0,1,0.0,6e-06
5510,0,0,1,0.0,6e-06
5788,0,0,1,0.0,6e-06
5859,0,0,1,0.0,6e-06
6041,0,0,1,0.0,6e-06
6161,0,0,1,0.0,6e-06
6313,0,0,1,0.0,6e-06
6317,0,0,1,0.0,6e-06
6402,1,0,2,0.0,3.6e-05
6439,0,0,1,0.0,6e-06
6652,15,1259,13672,0.0086,2.5e-05
6973,0,0,1,0.0,6e-06
7082,0,0,1,0.0,6e-06
7121,0,0,1,0.0,6e-06
7169,0,0,1,0.0,6e-06
7301,0,0,1,0.0,6e-06
7448,0,0,1,0.0,6e-06
7725,0,0,1,0.0,6e-06
8072,0,0,1,0.0,6e-06
8305,2,0,3,0.0,5.5e-05
8462,18,621,13672,0.0085,3.1e-05
8557,2,6,13672,0.0082,2.5e-05
8797,0,0,1,0.0,6e-06
8877,0,0,1,0.0,6e-06
9029,1,2,4,0.0,2.4e-05
9382,0,0,1,0.0,6e-06
9450,0,0,1,0.0,6e-06
9678,0,0,1,0.0,6e-06
9778,0,0,1,0.0,6e-06
9961,0,0,1,0.0,6e-06
10079,0,0,1,0.0,6e-06
10658,0,0,1,0.0,6e-06
10748,0,0,1,0.0,6e-06
10989,0,0,1,0.0,6e-06
11084,0,0,1,0.0,6e-06
11165,0,0,1,0.0,6e-06
11278,1,4,13672,0.0,1.4e-05
11680,0,0,1,0.0,6e-06
12213,0,0,1,0.0,6e-06
12252,1,59,13672,0.0,7e-06
12567,0,0,1,0.0,6e-06
12625,0,0,1,0.0,6e-06
12686,0,0,1,0.0,6e-06
13108,0,0,1,0.0,6e-06
13121,0,0,1,0.0,6e-06
13139,0,0,1,0.0,6e-06
13192,2,0,3,0.0082,3.6e-05
13431,1,0,2,0.0,3.6e-05
13449,0,0,1,0.0,6e-06
14385,0,0,1,0.0,6e-06
14557,1,0,2,0.0,3.6e-05
14716,27,1105,13672,0.0061,4e-05
14746,0,0,1,0.0,6e-06
15042,0,0,1,0.0,6e-06
15056,0,0,1,0.0,6e-06
15340,1,0,2,0.0,3.6e-05
15482,4,1,13672,0.0082,3.6e-05
16286,1,0,2,0.0,3.6e-05
16376,6,443,13672,0.0096,1.6e-05
17091,0,0,1,0.0,6e-06
17180,1,0,2,0.0,3.6e-05
17335,0,0,1,0.0,6e-06
17613,0,0,1,0.0,6e-06
17653,0,0,1,0.0,6e-06
17847,1,4,13672,0.0,1.5e-05
17865,1,31,13672,0.0,8e-06
18368,0,0,1,0.0,6e-06
18513,0,0,1,0.0,6e-06
18651,0,0,1,0.0,6e-06
18655,0,0,1,0.0,6e-06
18745,0,0,1,0.0,6e-06
18792,0,0,1,0.0,6e-06
18805,1,0,2,0.0,3.6e-05
18831,1,11,13672,0.0,1.1e-05
18840,0,0,1,0.0,6e-06
19463,0,0,1,0.0,6e-06
19918,1,0,2,0.0,3.6e-05
20107,0,0,1,0.0,6e-06
20323,0,0,1,0.0,6e-06
20555,3,1,13672,0.0,5.4e-05
21115,7,41,13672,0.0082,2.8e-05
21210,46,237,13672,0.0082,4.6e-05
22025,3,7,13672,0.0082,3.1e-05
22622,0,0,1,0.0,6e-06
22660,0,0,1,0.0,6e-06
22747,0,0,1,0.0,6e-06
22896,0,0,1,0.0,6e-06
23039,0,0,1,0.0,6e-06
23115,0,0,1,0.0,6e-06
23586,1,2,13672,0.0,2e-05
23834,0,0,1,0.0,6e-06
24055,0,0,1,0.0,6e-06
24564,1,0,2,0.0,3.6e-05
24650,0,0,1,0.0,6e-06
24952,0,0,1,0.0,6e-06
25703,74,1851,13672,0.0028,6.7e-05
25889,0,0,1,0.0,6e-06
25978,0,0,1,0.0,6e-06
26056,1,0,2,0.0,3.6e-05
26288,0,0,1,0.0,6e-06
26413,0,0,1,0.0,6e-06
26447,0,0,1,0.0,6e-06
26468,0,0,1,0.0,6e-06
26694,0,0,1,0.0,6e-06
26833,49,1437,13672,0.0044,5.6e-05
27343,23,190,13672,0.0089,2.2e-05
27427,0,0,1,0.0,6e-06
27789,0,0,1,0.0,6e-06
28521,0,0,1,0.0,6e-06
28554,0,0,1,0.0,6e-06
28555,20,415,13672,0.005,4.7e-05
28634,42,247,13672,0.0049,6.8e-05
29017,0,0,1,0.0,6e-06
29115,0,0,1,0.0,6e-06
29545,0,0,1,0.0,6e-06
29860,0,0,1,0.0,6e-06
29879,1,0,2,0.0,3.6e-05
31428,36,981,13672,0.0071,3.5e-05
31528,3,10,13672,0.0027,3.3e-05
31552,0,0,1,0.0,6e-06
31603,36,1002,13672,0.0082,3.7e-05
31770,2,0,3,0.0103,4e-05
31826,151,2964,13672,0.0021,0.000126
32628,0,0,1,0.0,6e-06
32848,3,42,13672,0.0034,2.1e-05
33543,2,276,13672,0.0,2.1e-05
33589,0,0,1,0.0,6e-06
33619,0,0,1,0.0,6e-06
33694,1,0,2,0.0,3.6e-05
33729,1,94,13672,0.0,7e-06
34416,0,0,1,0.0,6e-06
34787,0,0,1,0.0,6e-06
35131,0,0,1,0.0,6e-06
35768,0,0,1,0.0,6e-06
35920,0,0,1,0.0,6e-06
36044,0,0,1,0.0,6e-06
36128,0,0,1,0.0,6e-06
36301,105,1492,13672,0.0036,7.3e-05
36414,0,0,1,0.0,6e-06
36444,1,1,3,0.0,2.7e-05
36837,0,0,1,0.0,6e-06
37120,297,2512,13672,0.0081,0.000198
37224,0,0,1,0.0,6e-06
37350,0,0,1,0.0,6e-06
37397,0,0,1,0.0,6e-06
37963,0,0,1,0.0,6e-06
38358,0,0,1,0.0,6e-06
38432,0,0,1,0.0,6e-06
38456,0,0,1,0.0,6e-06
38584,0,0,1,0.0,6e-06
38722,0,0,1,0.0,6e-06
38974,0,0,1,0.0,6e-06
39355,1,1,13672,0.0,1.6e-05
39690,0,0,1,0.0,6e-06
39730,0,0,1,0.0,6e-06
40290,0,0,1,0.0,6e-06
41524,0,0,1,0.0,6e-06
41613,37,529,13672,0.0073,4.5e-05
41648,0,0,1,0.0,6e-06
41710,0,0,1,0.0,6e-06
42029,0,0,1,0.0,6e-06
42067,1,53,13672,0.0,7e-06
42121,0,0,1,0.0,6e-06
42274,0,0,1,0.0,6e-06
42407,0,0,1,0.0,6e-06
42661,0,0,1,0.0,6e-06
43003,0,0,1,0.0,6e-06
43010,1,0,2,0.0,3.6e-05
43485,0,0,1,0.0,6e-06
44099,0,0,1,0.0,6e-06
44330,0,0,1,0.0,6e-06
44348,0,0,1,0.0,6e-06
44361,8,527,13672,0.0132,1.1e-05
44449,1,24,13672,0.0,8e-06
44787,0,0,1,0.0,6e-06
44963,0,0,1,0.0,6e-06
45178,0,0,1,0.0,6e-06
45359,0,0,1,0.0,6e-06
45524,0,0,1,0.0,6e-06
45647,15,392,13672,0.0082,2.8e-05
45892,46,1558,13672,0.0082,3.8e-05
45992,5,9,13672,0.0049,4.1e-05
46186,2,65,13672,0.0082,1.3e-05
46743,0,0,1,0.0,6e-06
46781,0,0,1,0.0,6e-06
47033,0,0,1,0.0,6e-06
47238,0,0,1,0.0,6e-06
47928,28,518,13672,0.0071,5.2e-05
48014,0,0,1,0.0,6e-06
48312,8,9,13672,0.0068,4.8e-05
48329,0,0,1,0.0,6e-06
48511,6,4,13672,0.0082,3.4e-05
48625,0,0,1,0.0,6e-06
48642,0,0,1,0.0,6e-06
49015,0,0,1,0.0,6e-06
49083,50,235,13672,0.0079,4.9e-05
49160,0,0,1,0.0,6e-06
49368,1,218,13672,0.0,7e-06
49482,0,0,1,0.0,6e-06
49816,0,0,1,0.0,6e-06
50788,0,0,1,0.0,6e-06
50947,100,1451,13672,0.0051,7e-05
51003,1,4,13672,0.0,1.2e-05
51036,0,0,1,0.0,6e-06
51205,2,1,13672,0.0,4.1e-05
51461,0,0,1,0.0,6e-06
51526,0,0,1,0.0,6e-06
51985,0,0,1,0.0,6e-06
52017,0,0,1,0.0,6e-06
52105,0,0,1,0.0,6e-06
52335,0,0,1,0.0,6e-06
52528,39,619,13672,0.0047,8.6e-05
53082,3,2,13672,0.0089,2.9e-05
53450,38,942,13672,0.011,4e-05
54045,0,0,1,0.0,6e-06
54385,0,0,1,0.0,6e-06
55446,0,0,1,0.0,6e-06
55624,0,0,1,0.0,6e-06
55995,0,0,1,0.0,6e-06
56090,0,0,1,0.0,6e-06
56233,0,0,1,0.0,6e-06
57640,0,0,1,0.0,6e-06
58117,0,0,1,0.0,6e-06
58168,1,0,2,0.0,3.6e-05
58496,0,0,1,0.0,6e-06
58634,12,158,13672,0.0097,1.9e-05
58723,0,0,1,0.0,6e-06
58740,0,0,1,0.0,6e-06
58854,0,0,1,0.0,6e-06
59667,0,0,1,0.0,6e-06
60395,0,0,1,0.0,6e-06
60689,0,0,1,0.0,6e-06
61286,0,0,1,0.0,6e-06
61358,0,0,1,0.0,6e-06
